name,type,ymax,ymin,K,n,IL,IH,equation
0,A1_AmtR,NOR,3.8,0.06,0.07,1.6,0.071418036,0.917082477,ymin+(ymax-ymin)/(1.0+(x/K)^n)
1,B1_BM3R1,NOR,0.5,0.004,0.04,3.4,0.040190208,0.164716826,ymin+(ymax-ymin)/(1.0+(x/K)^n)
2,B2_BM3R1,NOR,0.5,0.005,0.15,2.9,0.151048616,0.728988942,ymin+(ymax-ymin)/(1.0+(x/K)^n)
3,B3_BM3R1,NOR,0.8,0.01,0.26,3.4,0.261943294,0.936422328,ymin+(ymax-ymin)/(1.0+(x/K)^n)
4,E1_BetI,NOR,3.8,0.07,0.41,2.4,0.41646314,2.131948906,ymin+(ymax-ymin)/(1.0+(x/K)^n)
5,F1_AmeR,NOR,3.8,0.2,0.09,1.4,0.097441924,0.680980375,ymin+(ymax-ymin)/(1.0+(x/K)^n)
6,H1_HlyIIR,NOR,2.5,0.07,0.19,2.6,0.194258377,0.735147282,ymin+(ymax-ymin)/(1.0+(x/K)^n)
7,I1_IcaRA,NOR,2.2,0.08,0.1,1.4,0.105541491,1.010814719,ymin+(ymax-ymin)/(1.0+(x/K)^n)
8,L1_LitR,NOR,4.3,0.07,0.05,1.7,0.050983067,0.552709139,ymin+(ymax-ymin)/(1.0+(x/K)^n)
9,N1_LmrA,NOR,2.2,0.2,0.18,2.1,0.19804897,0.512476199,ymin+(ymax-ymin)/(1.0+(x/K)^n)
10,P1_PhlF,NOR,3.9,0.01,0.03,4.0,0.030038585,0.133146326,ymin+(ymax-ymin)/(1.0+(x/K)^n)
11,P2_PhlF,NOR,4.1,0.02,0.13,3.9,0.130327211,0.507702151,ymin+(ymax-ymin)/(1.0+(x/K)^n)
12,P3_PhlF,NOR,6.8,0.02,0.23,4.2,0.230323307,0.920133536,ymin+(ymax-ymin)/(1.0+(x/K)^n)
13,Q1_QacR,NOR,2.4,0.01,0.05,2.7,0.050155208,0.379475457,ymin+(ymax-ymin)/(1.0+(x/K)^n)
14,Q2_QacR,NOR,2.8,0.03,0.21,2.4,0.21190396,1.377679427,ymin+(ymax-ymin)/(1.0+(x/K)^n)
15,R1_PsrA,NOR,5.9,0.2,0.19,1.8,0.197556859,1.197796047,ymin+(ymax-ymin)/(1.0+(x/K)^n)
16,S1_SrpR,NOR,1.3,0.003,0.01,2.9,0.010015965,0.08101328,ymin+(ymax-ymin)/(1.0+(x/K)^n)
17,S2_SrpR,NOR,2.1,0.003,0.04,2.6,0.040044043,0.49642145,ymin+(ymax-ymin)/(1.0+(x/K)^n)
18,S3_SrpR,NOR,2.1,0.004,0.06,2.8,0.060081844,0.561105739,ymin+(ymax-ymin)/(1.0+(x/K)^n)
19,S4_SrpR,NOR,2.1,0.007,0.1,2.8,0.100239178,0.764977507,ymin+(ymax-ymin)/(1.0+(x/K)^n)
