name,type,ymax,ymin,K,n,IL,IH,equation
0,js2_PhlF,NOR,28.85427545,0.080108347,0.977191433,4.171308584,0.978496712,4.002072178,ymin+(ymax-ymin)/(1.0+(x/K)^n)
1,js2_SrpR,NOR,14.52805309,0.074092292,0.34917443,2.565844601,0.350572406,2.721131599,ymin+(ymax-ymin)/(1.0+(x/K)^n)
2,js2_BM3R1,NOR,3.468985944,0.058479144,1.10248907,3.385747577,1.113713799,3.645022757,ymin+(ymax-ymin)/(1.0+(x/K)^n)
3,js2_AmtR,NOR,16.02102366,0.254267595,0.285832211,1.610221897,0.291615821,3.671948003,ymin+(ymax-ymin)/(1.0+(x/K)^n)
4,js2_HlyIIR,NOR,10.69447062,0.3065751,0.817007651,2.62065288,0.835623528,3.098004782,ymin+(ymax-ymin)/(1.0+(x/K)^n)
5,js_QacR,NOR,15.10292407,0.129020109,1.036520055,2.471422735,1.043772907,7.070948941,ymin+(ymax-ymin)/(1.0+(x/K)^n)
6,js2_IcaRA,NOR,11.16941158,0.428569891,0.487305747,1.620637173,0.511915195,3.468492792,ymin+(ymax-ymin)/(1.0+(x/K)^n)
7,js2_BetI,NOR,15.97890295,0.316172702,1.746205434,2.421897328,1.775562378,8.675200356,ymin+(ymax-ymin)/(1.0+(x/K)^n)
8,an0_AmeR,NOR,16.04594777,1.037044008,0.377192387,1.432032937,0.415469376,2.318845186,ymin+(ymax-ymin)/(1.0+(x/K)^n)
9,js2_LitR,NOR,18.09749561,0.291015685,0.202513104,1.697255275,0.206451342,2.264194413,ymin+(ymax-ymin)/(1.0+(x/K)^n)
