name,type,ymax,ymin,K,n,IL,IH,equation
0,js2_PhlF,NOR,23.1819585,0.201279826,0.429720356,2.329725337,0.978496712,4.002072178,ymin+(ymax-ymin)/(1.0+(x/K)^n)
1,js2_SrpR,NOR,19.80482781,0.22188976,0.143804137,2.014746009,0.350572406,2.721131599,ymin+(ymax-ymin)/(1.0+(x/K)^n)
2,js2_BM3R1,NOR,2.416021991,0.213016455,0.230555364,1.554553103,1.113713799,3.645022757,ymin+(ymax-ymin)/(1.0+(x/K)^n)
3,js2_AmtR,NOR,14.84462453,0.117569445,0.064508625,1.083757722,0.291615821,3.671948003,ymin+(ymax-ymin)/(1.0+(x/K)^n)
4,js2_HlyIIR,NOR,8.014670604,0.256983393,0.511826112,2.241168426,0.835623528,3.098004782,ymin+(ymax-ymin)/(1.0+(x/K)^n)
5,js_QacR,NOR,12.70269067,0.098994716,0.446204347,1.817997678,1.043772907,7.070948941,ymin+(ymax-ymin)/(1.0+(x/K)^n)
6,js2_IcaRA,NOR,10.8717608,0.181556952,0.143541113,1.073135112,0.511915195,3.468492792,ymin+(ymax-ymin)/(1.0+(x/K)^n)
7,js2_BetI,NOR,11.5179046,0.098949283,0.923372167,2.040675338,1.775562378,8.675200356,ymin+(ymax-ymin)/(1.0+(x/K)^n)
8,an0_AmeR,NOR,13.66245252,0.661574494,0.145923109,1.058348259,0.415469376,2.318845186,ymin+(ymax-ymin)/(1.0+(x/K)^n)
9,js2_LitR,NOR,23.90378442,0.128501812,0.033230004,1.04591116,0.206451342,2.264194413,ymin+(ymax-ymin)/(1.0+(x/K)^n)
